Category, Annotator 1, Annotator 2, SegSim, BoundSim
character_0, CB, MM, N/A, N/A
characters_0, CB, MM, N/A, N/A
foc_ext, CB, MM, N/A, N/A
foc_int, CB, MM, 0.9991990789407818991840616709, 0.2727272727272727272727272727
narrator_0, CB, MM, 0.9996996546027932121940231266, 0.1428571428571428571428571429
narrator_1, CB, MM, N/A, N/A
narrator_2, CB, MM, N/A, N/A
nc, CB, MM, 0.9994243379886869900385443260, 0.28125
turn, CB, MM, 0.9995745106872903839415327627, 0.46875
voice_1, CB, MM, 0.9991990789407818991840616709, 0.2727272727272727272727272727
voice_3, CB, MM, N/A, N/A
